"Points:0","Points:1","Points:2","U:0","U:1","U:2","k","nut","omega","p","pointDisplacement:0","pointDisplacement:1","pointDisplacement:2"
0.5,0.0375,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50038,0.037469,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50063,0.037416,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50086,0.03734,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50108,0.037244,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5013,0.037127,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50152,0.036989,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50173,0.036831,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50194,0.036653,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50215,0.036455,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50235,0.036236,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50256,0.035999,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50276,0.035742,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50295,0.035465,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50315,0.03517,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50334,0.034857,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50353,0.034524,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50371,0.034174,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5039,0.033805,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50408,0.033419,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50425,0.033015,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50443,0.032593,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5046,0.032155,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50477,0.031699,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50494,0.031227,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.5051,0.030738,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50526,0.030233,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50542,0.029712,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50557,0.029174,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50572,0.028622,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50587,0.028053,0,0,0,0,0.0001882,0,0.121,0,0,0,0
0.50602,0.02747,0,0,0,0,0.0001882,0,0.121,0,0,0,0
